x,y,z,status
-0.15,-0.86,-0.48,idle
-0.15,-0.86,-0.48,idle
-0.15,-0.86,-0.48,idle
-0.15,-0.86,-0.48,idle
-0.15,-0.86,-0.48,idle
-0.15,-0.86,-0.48,idle
-0.15,-0.86,-0.48,idle
-0.15,-0.86,-0.48,idle
-0.15,-0.86,-0.48,idle
-0.15,-0.86,-0.48,idle
-0.15,-0.865,-0.48,idle
-0.15,-0.86,-0.48,idle
-0.15,-0.86,-0.48,idle
-0.15,-0.865,-0.48,idle
-0.15,-0.86,-0.48,idle
-0.15,-0.86,-0.48,idle
-0.15,-0.865,-0.48,idle
-0.135,-0.945,-0.48,idle
-0.13,-0.91,-0.39,idle
-0.13,-0.91,-0.39,idle
-0.13,-0.91,-0.39,idle
-0.13,-0.91,-0.39,idle
-0.13,-0.91,-0.39,idle
-0.13,-0.91,-0.39,idle
-0.13,-0.91,-0.39,idle
-0.13,-0.91,-0.39,idle
-0.13,-0.91,-0.39,idle
-0.13,-0.91,-0.39,idle
-0.13,-0.91,-0.39,idle
-0.13,-0.91,-0.39,idle
-0.13,-0.91,-0.39,idle
-0.13,-0.91,-0.39,idle
-0.13,-0.91,-0.39,idle
-0.13,-0.91,-0.39,idle
-0.13,-0.91,-0.39,idle
-0.13,-0.91,-0.39,idle
-0.13,-0.91,-0.39,idle
-0.13,-0.91,-0.39,idle
-0.13,-0.91,-0.39,idle
-0.13,-0.91,-0.39,idle
-0.13,-0.91,-0.39,idle
-0.13,-0.91,-0.39,idle
-0.13,-0.91,-0.39,idle
-0.13,-0.91,-0.39,idle
-0.13,-0.91,-0.39,idle
-0.13,-0.91,-0.39,idle
-0.13,-0.91,-0.39,idle
-0.13,-0.91,-0.39,idle
-0.13,-0.91,-0.39,idle
-0.13,-0.91,-0.39,idle
-0.13,-0.91,-0.39,idle
-0.13,-0.91,-0.39,idle
-0.13,-0.91,-0.39,idle
-0.13,-0.915,-0.39,idle
-0.13,-0.91,-0.39,idle
-0.13,-0.91,-0.39,idle
-0.13,-0.91,-0.39,idle
-0.13,-0.91,-0.39,idle
-0.1,-0.945,-0.31,idle
-0.13,-0.905,-0.41,idle
-0.13,-0.905,-0.41,idle
-0.13,-0.91,-0.41,idle
-0.13,-0.905,-0.41,idle
-0.13,-0.905,-0.41,idle
-0.13,-0.9,-0.41,idle
-0.13,-0.905,-0.41,idle
-0.13,-0.9,-0.41,idle
-0.13,-0.9,-0.41,idle
-0.13,-0.9,-0.415,idle
-0.13,-0.9,-0.41,idle
-0.13,-0.9,-0.41,idle
-0.13,-0.9,-0.415,idle
-0.13,-0.9,-0.415,idle
-0.13,-0.9,-0.415,idle
-0.13,-0.9,-0.42,idle
-0.13,-0.9,-0.41,idle
-0.13,-0.9,-0.415,idle
-0.13,-0.9,-0.415,idle
-0.13,-0.9,-0.415,idle
-0.13,-0.9,-0.42,idle
-0.13,-0.9,-0.42,idle
-0.13,-0.9,-0.42,idle
-0.13,-0.9,-0.42,idle
-0.13,-0.9,-0.42,idle
-0.13,-0.9,-0.415,idle
-0.13,-0.9,-0.42,idle
-0.13,-0.9,-0.42,idle
-0.13,-0.9,-0.415,idle
-0.13,-0.9,-0.42,idle
-0.13,-0.895,-0.435,idle
-0.13,-0.88,-0.45,false_motion
-0.13,-0.89,-0.445,false_motion
-0.13,-0.885,-0.45,false_motion
-0.13,-0.885,-0.45,false_motion
-0.13,-0.89,-0.45,false_motion
-0.13,-0.89,-0.45,false_motion
-0.13,-0.88,-0.45,false_motion
-0.13,-0.89,-0.445,false_motion
