x,y,z
-0.15,-0.86,-0.48
-0.15,-0.86,-0.48
-0.15,-0.86,-0.48
-0.15,-0.86,-0.48
-0.15,-0.86,-0.48
-0.15,-0.86,-0.48
-0.15,-0.86,-0.48
-0.15,-0.86,-0.48
-0.15,-0.86,-0.48
-0.15,-0.86,-0.48
-0.15,-0.865,-0.48
-0.15,-0.86,-0.48
-0.15,-0.86,-0.48
-0.15,-0.865,-0.48
-0.15,-0.86,-0.48
-0.15,-0.86,-0.48
-0.15,-0.865,-0.48
-0.135,-0.945,-0.48
-0.13,-0.91,-0.39
-0.13,-0.91,-0.39
-0.13,-0.91,-0.39
-0.13,-0.91,-0.39
-0.13,-0.91,-0.39
-0.13,-0.91,-0.39
-0.13,-0.91,-0.39
-0.13,-0.91,-0.39
-0.13,-0.91,-0.39
-0.13,-0.91,-0.39
-0.13,-0.91,-0.39
-0.13,-0.91,-0.39
-0.13,-0.91,-0.39
-0.13,-0.91,-0.39
-0.13,-0.91,-0.39
-0.13,-0.91,-0.39
-0.13,-0.91,-0.39
-0.13,-0.91,-0.39
-0.13,-0.91,-0.39
-0.13,-0.91,-0.39
-0.13,-0.91,-0.39
-0.13,-0.91,-0.39
-0.13,-0.91,-0.39
-0.13,-0.91,-0.39
-0.13,-0.91,-0.39
-0.13,-0.91,-0.39
-0.13,-0.91,-0.39
-0.13,-0.91,-0.39
-0.13,-0.91,-0.39
-0.13,-0.91,-0.39
-0.13,-0.91,-0.39
-0.13,-0.91,-0.39
-0.13,-0.91,-0.39
-0.13,-0.91,-0.39
-0.13,-0.91,-0.39
-0.13,-0.915,-0.39
-0.13,-0.91,-0.39
-0.13,-0.91,-0.39
-0.13,-0.91,-0.39
-0.13,-0.91,-0.39
-0.1,-0.945,-0.31
-0.13,-0.905,-0.41
-0.13,-0.905,-0.41
-0.13,-0.91,-0.41
-0.13,-0.905,-0.41
-0.13,-0.905,-0.41
-0.13,-0.9,-0.41
-0.13,-0.905,-0.41
-0.13,-0.9,-0.41
-0.13,-0.9,-0.41
-0.13,-0.9,-0.415
-0.13,-0.9,-0.41
-0.13,-0.9,-0.41
-0.13,-0.9,-0.415
-0.13,-0.9,-0.415
-0.13,-0.9,-0.415
-0.13,-0.9,-0.42
-0.13,-0.9,-0.41
-0.13,-0.9,-0.415
-0.13,-0.9,-0.415
-0.13,-0.9,-0.415
-0.13,-0.9,-0.42
-0.13,-0.9,-0.42
-0.13,-0.9,-0.42
-0.13,-0.9,-0.42
-0.13,-0.9,-0.42
-0.13,-0.9,-0.415
-0.13,-0.9,-0.42
-0.13,-0.9,-0.42
-0.13,-0.9,-0.415
-0.13,-0.9,-0.42
-0.13,-0.895,-0.435
