x,y,z
-0.13,-0.88,-0.45
-0.13,-0.89,-0.445
-0.13,-0.885,-0.45
-0.13,-0.885,-0.45
-0.13,-0.89,-0.45
-0.13,-0.89,-0.45
-0.13,-0.88,-0.45
-0.13,-0.89,-0.445
-0.135,-0.895,-0.445
-0.135,-0.905,-0.4
-0.135,-0.9,-0.42
-0.14,-0.9,-0.42
-0.13,-0.915,-0.39
-0.1,-1.005,-0.27
-0.115,-0.94,-0.325
-0.11,-0.94,-0.325
-0.09,-0.86,-0.205
-0.095,-0.975,-0.225
-0.1,-0.965,-0.26
-0.115,-0.945,-0.32
-0.13,-0.915,-0.39
-0.13,-0.92,-0.385
-0.15,-0.93,-0.46
-0.175,-0.955,-0.44
-0.12,-0.94,-0.355
-0.145,-0.945,-0.42
-0.135,-0.905,-0.41
-0.15,-0.87,-0.46
-0.15,-0.875,-0.465
-0.175,-0.87,-0.475
-0.145,-0.8,-0.31
-0.12,-0.93,-0.36
-0.11,-0.95,-0.315
-0.125,-0.93,-0.365
-0.11,-1.05,-0.32
-0.115,-0.94,-0.33
-0.09,-0.885,-0.15
-0.09,-0.975,-0.215
-0.115,-0.95,-0.31
-0.175,-0.835,-0.245
-0.13,-0.92,-0.38
-0.145,-0.91,-0.405
-0.23,-0.84,-0.39
-0.13,-0.91,-0.405
-0.13,-0.92,-0.39
-0.14,-0.895,-0.455
-0.13,-0.91,-0.405
-0.13,-0.91,-0.4
-0.165,-0.955,-0.42
-0.13,-0.905,-0.405
-0.13,-0.9,-0.415
-0.155,-0.96,-0.48
-0.13,-0.9,-0.43
-0.13,-0.9,-0.43
-0.13,-0.9,-0.43
-0.13,-0.905,-0.405
-0.13,-0.9,-0.41
-0.13,-0.9,-0.41
-0.13,-0.9,-0.41
-0.13,-0.905,-0.41
-0.13,-0.905,-0.425
-0.13,-0.9,-0.42
-0.13,-0.89,-0.44
-0.13,-0.89,-0.43
-0.13,-0.89,-0.43
-0.13,-0.89,-0.405
-0.08,-0.71,-0.32
-0.13,-0.91,-0.415
-0.11,-0.93,-0.325
-0.13,-0.91,-0.395
-0.13,-0.91,-0.4
