x,y,z
0.715,0.645,-0.185
0.73,0.465,-0.465
0.765,0.605,-0.375
0.745,0.67,-0.33
0.685,0.555,-0.385
0.705,0.51,-0.395
0.77,0.54,-0.31
0.76,0.56,-0.295
0.835,0.48,-0.285
0.81,0.47,-0.375
0.81,0.41,-0.325
0.81,0.405,-0.355
0.82,0.445,-0.345
0.82,0.43,-0.365
0.815,0.37,-0.32
0.835,0.385,-0.3
0.815,0.355,-0.395
0.82,0.4,-0.37
0.825,0.42,-0.365
0.83,0.475,-0.345
0.85,0.36,-0.335
0.805,0.45,-0.35
0.81,0.445,-0.355
0.81,0.46,-0.415
0.82,0.435,-0.335
0.83,0.42,-0.4
0.83,0.355,-0.34
0.84,0.345,-0.375
0.845,0.355,-0.4
0.84,0.385,-0.4
0.83,0.38,-0.395
0.82,0.575,-0.285
0.05,-0.385,-0.91
0.48,-0.22,-0.87
0.815,0.435,-0.355
0.875,0.385,-0.02
0.925,0.35,-0.01
0.945,0.375,0.115
0.945,0.28,0.055
0.975,0.305,0.135
0.845,0.565,0.215
0.9,0.395,0.095
0.875,0.39,0.175
0.845,0.465,0.1
0.905,0.395,0.005
0.88,0.485,0.055
0.87,0.46,0.045
0.91,0.405,0.09
0.895,0.43,0.06
0.875,0.395,0.1
0.885,0.48,0.035
0.87,0.5,0.055
0.805,0.585,0.095
0.76,0.635,0.1
